ID,Title,Author / Source,Year,Type,Main Focus / Notes,URL
1,Navigating Graduate School While Managing a Chronic Illness,Jay Summer – Inside Higher Ed,2018,Personal essay,"MFA student with migraine, fibromyalgia, POTS, IBS, anxiety; health‑first priorities and flexible scheduling in grad school.",https://www.insidehighered.com/advice/2018/12/05/firsthand-lessons-how-succeed-grad-school-despite-being-chronically-ill-opinion
2,True Confessions of a Chronically Ill PhD,GradHacker / Inside Higher Ed,2014,Personal essay,"Sociology PhD with lupus and RA; advisor treatment, disability office limits, finishing PhD while ill.",https://www.insidehighered.com/blogs/gradhacker/true-confessions-chronically-ill-phd
3,My Story: Grad School and Chronic Illness,Alterra Sanchez – UMD Graduate School,2019,Personal essay (institution site),"PhD env. science; learning disability and caregiving for family member with autoimmune illness; “spoons,” boundaries, support network.",https://gradschool.umd.edu/newsroom/mystory_alterrasanchez
4,A Day in the Life of a Grad Student with an Invisible Chronic Illness,Editage Insights,2019,Personal essay,"Grad student with ME, chronic pain, PANS, OCD, anxiety, depression, ADHD; minute‑by‑minute description of a typical day.",https://www.editage.com/insights/a-day-in-the-life-of-a-grad-student-with-an-invisible-chronic-illness
5,Coping with a Chronic Illness during a PhD,Lieselot Nguyen – Voices of Academia,2021,Personal essay,"Evolutionary biology PhD with endometriosis; long pre‑diagnosis period, medical leave, coping strategies, supervisor communication.",https://voicesofacademia.com/2021/02/19/coping-with-a-chronic-illness-during-a-phd-by-lieselot-nguyen/
6,My PhD and Chronic Illness Journey: Three Tips to Stay Afloat,University of Glasgow PGR Blog,2025,Personal essay,"Part‑time PhD with Crohn’s disease; “put yourself first,” ask for help, realistic flexible goals.",https://uofgpgrblog.com/pgrblog/2025/11/3/my-phd-and-chronic-illness-journey-three-tips-to-stay-afloatnbsp
7,Managing Chronic Illness during Graduate School,Time2Track Blog,2018,Personal essay,"Grad student with lupus and pulmonary hypertension; dropping classes, hospitalizations, individualized tools and interventions.",https://blog.time2track.com/managing-chronic-illness-during-graduate-school/
8,Managing Chronic Illness as a Ph.D. Student,Rice University,2023,Personal essay,"PhD student; disclosing to PI, restructuring research for remote work, counseling, self‑kindness.",https://graduate.rice.edu/news/current-news/managing-chronic-illness-phd-student
9,How to Get Through Grad School with a Chronic Illness,Nadha Hassen,2020,Personal essay,"Grad student; funding apps, building routines (sleep, walks, podcasts), intentional well‑being time.",https://nadhahassen.com/how-to-get-through-grad-school-with-a-chronic-illness/
10,Lessons from Writing a PhD with a Chronic Illness,Amber Davis – Chronically Academic,2016,Personal essay,"Political science PhD; sudden health crash, finishing thesis while ill, leaving academia to coach PhDs.",https://chronicallyacademic.blogspot.com/2016/08/lessons-from-writing-phd-with-chronic.html
